unit_nr,time_cycles,op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_12,sensor_15,sensor_21,failure_within_30
1,103,-0.0013,0.0001,642.21,1581.27,1403.21,553.64,47.57,521.41,8.4263,23.4289,0
1,104,-0.0001,0.0001,642.29,1590.63,1406.25,553.66,47.34,522.38,8.4021,23.3393,0
1,105,0.0024,0.0004,642.01,1588.28,1403.22,553.11,47.31,521.81,8.4326,23.3857,0
1,106,0.0,0.0001,642.68,1589.05,1404.45,553.6,47.44,521.51,8.4664,23.4148,0
1,107,-0.0012,-0.0001,642.53,1595.13,1407.73,553.74,47.35,521.75,8.4241,23.4086,0
1,108,0.0008,0.0001,643.49,1585.91,1399.47,554.43,47.61,521.52,8.4133,23.3032,0
1,109,-0.0011,-0.0003,642.49,1586.45,1409.1,553.59,47.58,521.62,8.3757,23.3561,0
1,110,-0.0,0.0004,642.55,1590.01,1401.27,554.08,47.55,522.01,8.4638,23.2951,0
1,111,0.0008,0.0004,642.67,1584.38,1408.11,553.49,47.62,521.53,8.4447,23.2135,0
1,112,0.0005,0.0003,642.66,1586.46,1401.84,553.19,47.22,521.9,8.4445,23.3207,0
1,113,0.0007,0.0001,642.68,1590.85,1406.59,552.91,47.46,521.75,8.458,23.3101,0
1,114,0.0003,0.0004,642.31,1588.42,1402.97,554.29,47.58,521.68,8.429,23.3754,0
1,115,-0.0017,0.0005,642.66,1594.84,1406.6,554.13,47.43,521.36,8.4345,23.3022,0
1,116,-0.002,-0.0003,642.64,1580.31,1401.99,554.4,47.43,521.6,8.4059,23.3512,0
1,117,0.0005,0.0004,642.38,1589.77,1409.35,554.59,47.52,521.22,8.4256,23.1766,0
1,118,-0.0006,-0.0004,642.34,1585.67,1409.34,554.25,47.55,521.31,8.4197,23.2966,0
1,119,0.0013,0.0005,642.67,1596.8,1404.46,553.77,47.55,521.46,8.4194,23.3188,0
1,120,-0.0024,0.0005,642.81,1593.78,1407.68,553.66,47.6,521.34,8.4029,23.3061,0
1,121,-0.0033,0.0004,642.63,1593.56,1411.9,553.7,47.44,521.3,8.4263,23.422,0
1,122,0.0026,-0.0001,643.3,1593.68,1413.97,553.43,47.6,520.92,8.4256,23.2793,0
1,123,0.0016,-0.0002,643.39,1586.66,1403.04,552.64,47.41,521.6,8.4396,23.292,0
1,124,0.0025,0.0002,642.48,1587.14,1402.28,552.26,47.55,521.4,8.4416,23.2341,0
1,125,-0.0004,0.0005,642.96,1585.47,1406.42,552.44,47.63,521.57,8.4079,23.3039,0
1,126,0.0016,0.0001,642.49,1582.64,1418.5,553.72,47.49,521.35,8.4378,23.2289,0
1,127,-0.001,0.0002,642.99,1586.9,1399.49,553.81,47.63,521.34,8.4626,23.2772,0
1,128,-0.0006,0.0003,642.47,1593.87,1407.06,552.74,47.62,521.96,8.4413,23.2641,0
1,129,-0.0033,0.0003,642.41,1591.33,1408.42,552.42,47.61,522.02,8.4681,23.2656,0
1,130,-0.0007,0.0002,642.7,1585.9,1412.25,552.66,47.46,521.49,8.3938,23.3461,0
1,131,0.0002,-0.0001,643.01,1585.78,1413.25,553.7,47.7,521.45,8.4328,23.3435,0
1,132,0.0032,-0.0001,643.19,1596.06,1405.76,553.16,47.56,521.64,8.4227,23.3186,0
1,133,0.0032,-0.0002,642.45,1592.64,1410.11,553.82,47.57,521.23,8.4604,23.2521,0
1,134,-0.0014,0.0,642.85,1583.62,1402.67,553.2,47.75,521.52,8.4293,23.2833,0
1,135,-0.0017,0.0001,642.45,1585.55,1406.83,553.09,47.34,520.99,8.4242,23.2744,0
1,136,0.003,-0.0001,642.84,1584.72,1404.39,554.18,47.43,521.54,8.4469,23.1699,0
1,137,-0.0011,0.0,642.43,1594.69,1405.15,553.39,47.89,521.63,8.449,23.2593,0
1,138,-0.0011,0.0001,642.79,1589.82,1413.34,552.91,47.4,521.57,8.4208,23.3664,0
1,139,-0.0014,0.0005,643.11,1592.28,1412.6,553.25,47.67,521.03,8.4621,23.3422,0
1,140,-0.0006,-0.0001,643.05,1590.89,1408.36,552.15,47.51,521.27,8.4397,23.3704,0
1,141,-0.0023,0.0005,642.39,1590.02,1415.25,553.45,47.49,521.06,8.4641,23.2382,0
1,142,0.0026,0.0002,642.51,1595.29,1413.42,553.11,47.59,520.44,8.4291,23.2816,0
1,143,-0.0005,-0.0003,642.77,1593.1,1404.21,553.62,47.52,520.98,8.4419,23.2305,0
1,144,0.0025,-0.0004,643.09,1591.89,1405.76,553.77,47.57,521.11,8.4601,23.2249,0
1,145,-0.0004,-0.0001,642.95,1594.92,1409.63,553.03,47.54,521.13,8.4644,23.149,0
1,146,0.0002,-0.0003,642.72,1586.75,1408.82,552.6,47.63,521.13,8.4312,23.3233,0
1,147,0.0047,0.0001,642.25,1594.85,1409.96,553.09,47.8,520.92,8.4428,23.2684,0
1,148,0.001,-0.0004,643.02,1590.03,1411.89,552.84,47.49,521.08,8.4276,23.2498,0
1,149,0.0025,0.0004,642.9,1592.78,1410.7,552.54,47.83,521.13,8.4731,23.2565,0
1,150,0.001,-0.0003,643.06,1589.01,1409.22,553.57,47.6,520.5,8.4726,23.2082,0
1,151,-0.0019,-0.0001,642.82,1592.39,1411.94,552.41,47.58,520.94,8.4612,23.2277,0
1,152,0.0009,-0.0001,642.67,1598.6,1420.83,552.62,47.72,520.39,8.4572,23.2369,0
1,153,0.0011,-0.0004,642.99,1589.17,1414.56,552.68,47.74,520.69,8.4435,23.1719,0
1,154,-0.0012,0.0,642.81,1597.03,1416.07,552.57,47.73,520.72,8.4794,23.2366,0
1,155,-0.0033,0.0002,642.83,1590.4,1414.89,552.89,47.61,521.23,8.4729,23.2749,0
1,156,-0.002,0.0003,643.04,1585.61,1421.23,553.24,47.58,520.75,8.4432,23.2791,0
1,157,-0.0018,0.0002,642.2,1598.04,1412.47,552.32,47.72,520.94,8.4328,23.2354,0
1,158,-0.0023,0.0001,642.88,1596.82,1410.09,553.19,47.68,520.88,8.4368,23.2894,0
1,159,-0.0006,0.0001,642.89,1589.54,1420.37,552.18,47.76,520.65,8.4403,23.253,0
1,160,-0.0006,-0.0004,643.45,1590.65,1418.08,551.87,47.84,520.47,8.4433,23.2817,0
1,161,0.0008,0.0001,643.0,1594.2,1417.31,552.8,47.77,520.47,8.4405,23.2962,0
1,162,-0.0005,0.0004,643.15,1592.22,1423.48,552.68,47.79,520.44,8.5015,23.1538,1
1,163,0.0003,-0.0004,642.85,1600.54,1421.09,552.41,47.89,520.3,8.5129,23.1419,1
1,164,0.0005,-0.0002,643.17,1598.96,1416.76,551.9,47.7,520.63,8.4803,23.1761,1
1,165,0.001,0.0004,642.76,1597.03,1408.09,552.79,47.89,520.69,8.4922,23.2129,1
1,166,-0.0022,-0.0003,643.34,1596.72,1422.37,552.13,47.86,520.02,8.4663,23.145,1
1,167,0.0012,0.0003,643.02,1593.83,1414.72,552.57,47.85,520.49,8.4632,23.3011,1
1,168,-0.0043,0.0002,642.68,1591.19,1415.7,552.09,47.84,520.78,8.4925,23.277,1
1,169,-0.0017,0.0004,643.2,1590.16,1418.05,552.71,47.88,520.44,8.4767,23.187,1
1,170,-0.0017,-0.0002,642.92,1592.71,1417.41,552.02,47.86,520.23,8.49,23.1615,1
1,171,0.0004,-0.0003,643.26,1592.06,1414.99,552.71,48.03,519.85,8.4922,23.2444,1
1,172,-0.0014,-0.0003,643.33,1591.71,1413.73,551.69,48.07,520.54,8.4595,23.1585,1
1,173,-0.0032,0.0002,642.97,1590.69,1425.27,552.13,47.9,520.11,8.5091,23.1789,1
1,174,-0.0001,-0.0002,642.64,1599.81,1422.58,552.32,48.0,520.22,8.4476,23.0357,1
1,175,0.0001,0.0002,643.61,1603.29,1422.52,551.64,47.86,520.38,8.489,23.1573,1
1,176,-0.002,-0.0003,642.86,1592.27,1422.73,551.91,47.84,519.8,8.4853,23.2491,1
1,177,-0.0038,-0.0003,643.79,1602.02,1423.99,551.93,48.03,520.24,8.4779,23.1673,1
1,178,-0.0001,0.0002,643.38,1605.33,1424.65,552.18,48.0,520.2,8.477,23.177,1
1,179,0.0023,-0.0003,642.86,1592.56,1429.45,551.57,48.02,520.38,8.4947,23.1888,1
1,180,-0.0024,0.0,643.58,1599.87,1417.14,552.91,47.85,519.84,8.4737,23.007,1
1,181,-0.0006,0.0005,643.44,1596.71,1420.64,551.83,48.1,520.43,8.472,23.1652,1
1,182,-0.001,0.0003,644.21,1602.08,1426.62,551.9,47.98,520.46,8.5158,23.1787,1
1,183,0.0001,0.0001,643.24,1597.23,1419.03,551.38,48.03,520.05,8.5041,23.1302,1
1,184,0.0004,0.0003,644.07,1605.44,1432.52,551.0,48.07,519.77,8.5133,23.0146,1
1,185,0.0008,0.0001,643.8,1603.46,1424.4,551.64,48.15,519.82,8.4984,23.07,1
1,186,0.0027,-0.0003,643.51,1595.16,1426.3,552.57,48.12,520.08,8.5227,23.0564,1
1,187,-0.0047,-0.0,643.32,1592.1,1427.27,551.08,48.23,519.53,8.5218,23.0822,1
1,188,-0.0067,0.0003,643.75,1602.38,1422.78,551.94,48.0,519.79,8.5207,22.9588,1
1,189,-0.0006,0.0002,644.18,1596.17,1428.01,550.7,48.08,519.58,8.5183,23.1127,1
1,190,-0.0027,0.0001,643.64,1599.22,1425.95,551.29,48.33,520.04,8.5223,23.0675,1
1,191,-0.0,-0.0004,643.34,1602.36,1425.77,550.92,48.15,519.57,8.5174,23.1295,1
1,192,0.0009,-0.0,643.54,1601.41,1427.2,551.25,48.25,520.08,8.5113,22.9649,1
2,1,-0.0018,0.0006,641.89,1583.84,1391.28,554.53,46.93,522.33,8.3905,23.4585,0
2,2,0.0043,-0.0003,641.82,1587.05,1393.13,554.77,47.24,522.7,8.4167,23.4085,0
2,3,0.0018,0.0003,641.55,1588.32,1398.96,555.14,47.22,522.58,8.3802,23.425,0
2,4,0.0035,-0.0004,641.68,1584.15,1396.08,554.25,47.1,522.49,8.4018,23.5027,0
2,5,0.0005,0.0004,641.73,1579.03,1402.52,555.12,47.25,522.27,8.3867,23.4234,0
2,6,-0.001,0.0004,641.3,1577.5,1396.76,554.98,47.05,522.8,8.38,23.427,0
2,7,0.0001,-0.0002,642.03,1587.49,1400.65,554.84,47.1,522.14,8.3941,23.4718,0
2,8,0.0015,-0.0004,642.55,1590.41,1395.39,554.65,47.2,522.77,8.3861,23.4381,0
2,9,0.0017,-0.0004,641.98,1581.99,1395.01,554.69,47.14,522.4,8.3868,23.4875,0
2,10,-0.0045,0.0002,641.99,1586.37,1394.86,554.63,47.21,521.99,8.3982,23.6005,0
2,11,0.0006,0.0004,642.26,1589.21,1401.29,554.7,47.21,522.2,8.4188,23.3888,0
2,12,0.0002,0.0006,641.64,1579.99,1401.9,554.57,47.13,521.94,8.3925,23.4201,0
2,13,0.0007,0.0005,641.78,1586.77,1401.53,554.69,47.03,522.33,8.3742,23.4317,0
2,14,-0.0024,-0.0004,641.66,1584.04,1395.46,554.47,47.12,523.07,8.3887,23.4074,0
2,15,-0.0012,-0.0003,642.21,1579.84,1402.11,554.17,47.17,521.96,8.3704,23.4311,0
2,16,-0.001,0.0003,641.81,1581.99,1393.46,554.53,47.24,522.49,8.3805,23.4462,0
2,17,0.0003,-0.0001,642.43,1583.58,1390.27,553.62,47.13,522.71,8.3714,23.5245,0
2,18,0.0014,0.0001,641.95,1588.43,1400.25,554.83,47.22,522.92,8.4053,23.4203,0
2,19,0.0025,0.0001,641.75,1576.84,1401.77,555.25,47.14,522.38,8.4035,23.4102,0
2,20,0.0042,-0.0004,642.34,1582.94,1394.38,554.64,47.14,522.54,8.3698,23.3821,0
2,21,-0.0023,0.0001,642.05,1579.51,1392.28,554.72,47.04,522.58,8.3954,23.5014,0
2,22,0.0024,0.0006,642.16,1580.18,1397.67,554.35,47.17,521.73,8.3792,23.4241,0
2,23,-0.0013,0.0003,642.37,1580.89,1387.5,554.69,47.21,522.26,8.3937,23.2867,0
2,24,-0.0019,-0.0,641.99,1580.97,1398.67,553.5,47.15,522.25,8.3866,23.3981,0
2,25,0.0063,0.0001,641.81,1585.38,1396.62,554.14,47.19,522.31,8.3959,23.4883,0
2,26,-0.0011,0.0003,641.87,1575.38,1392.3,554.03,47.12,522.8,8.3472,23.4691,0
2,27,0.0006,0.0005,642.12,1585.44,1402.31,555.16,47.03,522.11,8.4077,23.4275,0
2,28,0.0037,0.0005,642.04,1581.6,1397.45,554.77,46.99,522.68,8.3734,23.4395,0
2,29,-0.0032,-0.0003,642.08,1583.78,1398.08,554.75,47.11,522.26,8.37,23.4249,0
2,30,0.0012,0.0,641.78,1590.32,1395.07,554.62,47.2,522.43,8.419,23.3985,0
2,31,-0.0009,0.0005,641.97,1579.86,1390.94,554.8,47.05,522.17,8.4393,23.4154,0
2,32,0.0013,-0.0001,641.58,1584.52,1391.11,554.56,47.12,522.54,8.3783,23.4006,0
2,33,-0.0032,0.0004,641.79,1585.17,1396.15,553.62,47.09,522.26,8.4102,23.4434,0
2,34,0.0042,0.0003,642.12,1584.08,1394.24,555.09,47.22,522.64,8.4188,23.4571,0
2,35,0.002,0.0002,641.37,1575.73,1392.55,554.73,47.25,522.0,8.4164,23.5283,0
2,36,0.0013,0.0004,641.27,1581.56,1397.13,554.59,47.21,522.32,8.3709,23.3881,0
2,37,0.005,0.0005,642.1,1585.63,1396.29,555.01,47.16,522.69,8.3609,23.4047,0
2,38,0.0013,0.0005,642.22,1585.15,1397.75,554.21,47.22,522.13,8.4069,23.4191,0
2,39,-0.0018,0.0005,642.0,1585.69,1391.49,554.05,47.2,522.79,8.3755,23.4489,0
2,40,0.0005,0.0005,642.02,1582.69,1398.38,554.07,47.22,522.3,8.401,23.4402,0
2,41,0.0015,0.0006,642.41,1578.97,1398.74,554.34,47.26,522.22,8.3856,23.3071,0
2,42,0.0016,0.0005,642.27,1579.21,1392.13,553.98,47.14,522.87,8.3449,23.4631,0
2,43,0.0027,0.0,642.02,1580.59,1391.6,554.14,47.08,522.9,8.4144,23.4966,0
2,44,0.0003,0.0003,642.01,1584.33,1398.69,554.16,47.22,522.77,8.4087,23.4546,0
2,45,-0.0014,-0.0002,642.05,1586.41,1397.6,554.2,47.17,522.27,8.3847,23.4284,0
2,46,0.0002,-0.0003,642.15,1575.45,1392.6,554.54,47.19,522.08,8.3994,23.5041,0
2,47,0.0021,0.0003,642.4,1583.85,1396.46,554.96,47.03,522.73,8.3756,23.3447,0
2,48,0.0006,-0.0001,642.09,1586.71,1397.95,554.67,47.18,522.41,8.3821,23.4336,0
2,49,-0.0006,0.0005,642.85,1583.86,1396.5,554.04,47.18,522.83,8.4024,23.4871,0
2,50,-0.0002,-0.0004,642.02,1577.86,1399.78,554.73,47.16,522.16,8.4042,23.353,0
2,51,0.0008,0.0003,642.03,1585.34,1393.06,555.02,47.03,522.34,8.3731,23.3239,0
2,52,-0.001,-0.0001,641.52,1588.48,1401.66,554.76,47.09,522.58,8.4064,23.3668,0
2,53,-0.0023,-0.0001,642.0,1584.9,1397.09,554.33,46.98,522.73,8.411,23.5307,0
2,54,0.0004,-0.0003,641.58,1583.46,1405.33,554.42,47.1,522.48,8.4057,23.3626,0
2,55,-0.0035,-0.0004,642.33,1585.59,1387.16,554.54,47.18,522.7,8.4077,23.3779,0
2,56,-0.0035,0.0002,641.84,1587.04,1388.97,554.72,47.03,522.1,8.393,23.3796,0
2,57,-0.0003,-0.0001,642.5,1584.13,1389.62,553.87,47.17,521.98,8.4008,23.4544,0
2,58,-0.0,-0.0002,642.3,1582.93,1389.91,554.46,47.3,522.24,8.3731,23.3861,0
2,59,0.0032,-0.0,642.48,1584.24,1397.95,554.6,47.17,522.78,8.4036,23.4347,0
2,60,0.0014,-0.0002,642.09,1584.57,1396.84,554.06,47.12,521.93,8.4003,23.3928,0
2,61,-0.0044,0.0001,642.41,1585.45,1399.71,555.08,47.09,522.69,8.4006,23.2745,0
2,62,-0.0017,-0.0001,641.81,1577.87,1401.66,554.52,47.27,521.78,8.4193,23.4442,0
2,63,-0.0014,0.0005,641.91,1575.83,1395.05,554.63,47.17,522.15,8.3867,23.325,0
2,64,-0.0,0.0001,641.66,1581.65,1401.46,554.93,47.11,522.18,8.4144,23.398,0
2,65,0.0008,0.0,641.7,1582.59,1395.4,554.28,47.34,522.52,8.4128,23.3455,0
2,66,0.0005,-0.0002,642.26,1584.6,1394.01,554.11,47.17,522.65,8.4121,23.426,0
2,67,-0.0036,-0.0001,642.17,1587.63,1395.44,554.99,46.96,522.58,8.3761,23.3933,0
2,68,0.0008,0.0001,642.5,1577.16,1399.27,554.07,47.16,522.2,8.4141,23.4076,0
2,69,-0.0004,0.0,642.73,1586.47,1399.73,554.35,47.33,522.21,8.4116,23.3783,0
2,70,0.0005,-0.0002,641.76,1593.24,1397.3,554.47,47.26,522.17,8.4118,23.3894,0
2,71,-0.0004,0.0002,642.39,1586.68,1403.09,555.01,47.24,522.02,8.3993,23.317,0
