weight_kg,cruise_speed_kts,altitude_ft,outside_temp_c,fuel_flow_kgph
24000.0,250.0,10000.0,-5.0,1263.25
24000.0,250.0,10000.0,5.0,1261.71
24000.0,250.0,20000.0,-35.0,1318.7
24000.0,250.0,20000.0,-25.0,1314.58
24000.0,250.0,20000.0,-15.0,1310.79
24000.0,250.0,24000.0,-43.0,1343.59
24000.0,250.0,24000.0,-33.0,1338.24
24000.0,250.0,24000.0,-23.0,1333.33
24000.0,250.0,30000.0,-55.0,1384.8
24000.0,250.0,30000.0,-45.0,1377.3
24000.0,250.0,30000.0,-35.0,1370.45
24000.0,270.0,10000.0,-15.0,1199.74
24000.0,270.0,10000.0,-5.0,1198.63
24000.0,270.0,10000.0,5.0,1197.61
24000.0,270.0,20000.0,-35.0,1237.13
24000.0,270.0,20000.0,-25.0,1234.18
24000.0,270.0,20000.0,-15.0,1231.48
24000.0,270.0,24000.0,-43.0,1255.17
24000.0,270.0,24000.0,-33.0,1251.26
24000.0,270.0,24000.0,-23.0,1247.69
24000.0,270.0,30000.0,-55.0,1285.79
24000.0,270.0,30000.0,-45.0,1280.16
24000.0,270.0,30000.0,-35.0,1275.03
28000.0,210.0,10000.0,-15.0,1917.73
28000.0,210.0,10000.0,-5.0,1913.55
28000.0,210.0,10000.0,5.0,1909.67
28000.0,210.0,20000.0,-35.0,2046.3
28000.0,210.0,20000.0,-25.0,2036.85
28000.0,210.0,20000.0,-15.0,2028.11
28000.0,210.0,24000.0,-43.0,2102.34
28000.0,210.0,24000.0,-33.0,2090.45
28000.0,210.0,24000.0,-23.0,2079.46
28000.0,210.0,30000.0,-55.0,2191.57
28000.0,210.0,30000.0,-45.0,2175.64
28000.0,210.0,30000.0,-35.0,2160.94
28000.0,230.0,10000.0,-15.0,1709.03
28000.0,230.0,10000.0,-5.0,1705.7
28000.0,230.0,10000.0,5.0,1702.6
28000.0,230.0,20000.0,-35.0,1812.76
28000.0,230.0,20000.0,-25.0,1805.06
28000.0,230.0,20000.0,-15.0,1797.95
28000.0,230.0,24000.0,-43.0,1858.6
28000.0,230.0,24000.0,-33.0,1848.84
28000.0,230.0,24000.0,-23.0,1839.84
28000.0,230.0,30000.0,-55.0,1932.27
28000.0,230.0,30000.0,-45.0,1919.05
28000.0,230.0,30000.0,-35.0,1906.89
28000.0,250.0,10000.0,-15.0,1558.22
28000.0,250.0,10000.0,-5.0,1555.63
28000.0,250.0,10000.0,5.0,1553.23
28000.0,250.0,20000.0,-35.0,1639.97
28000.0,250.0,20000.0,-25.0,1633.83
28000.0,250.0,20000.0,-15.0,1628.17
28000.0,250.0,24000.0,-43.0,1676.74
28000.0,250.0,24000.0,-33.0,1668.88
28000.0,250.0,24000.0,-23.0,1661.65
28000.0,250.0,30000.0,-55.0,1736.51
28000.0,250.0,30000.0,-45.0,1725.73
28000.0,250.0,30000.0,-35.0,1715.83
28000.0,270.0,10000.0,-15.0,1452.01
28000.0,270.0,10000.0,-5.0,1450.08
28000.0,270.0,10000.0,5.0,1448.3
28000.0,270.0,20000.0,-35.0,1514.28
28000.0,270.0,20000.0,-25.0,1509.52
28000.0,270.0,20000.0,-15.0,1505.14
28000.0,270.0,24000.0,-43.0,1542.99
28000.0,270.0,24000.0,-33.0,1536.82
28000.0,270.0,24000.0,-23.0,1531.16
28000.0,270.0,30000.0,-55.0,1590.38
28000.0,270.0,30000.0,-45.0,1581.78
28000.0,270.0,30000.0,-35.0,1573.9
32000.0,210.0,10000.0,-15.0,2355.21
32000.0,210.0,10000.0,-5.0,2349.95
32000.0,210.0,10000.0,5.0,2345.06
32000.0,210.0,20000.0,-35.0,2515.74
32000.0,210.0,20000.0,-25.0,2504.03
32000.0,210.0,20000.0,-15.0,2493.19
32000.0,210.0,24000.0,-43.0,2584.89
32000.0,210.0,24000.0,-33.0,2570.25
32000.0,210.0,24000.0,-23.0,2556.71
32000.0,210.0,30000.0,-55.0,2694.05
32000.0,210.0,30000.0,-45.0,2674.64
32000.0,210.0,30000.0,-35.0,2656.7
32000.0,230.0,10000.0,-15.0,2087.77
32000.0,230.0,10000.0,-5.0,2083.42
32000.0,230.0,10000.0,5.0,2079.37
32000.0,230.0,20000.0,-35.0,2221.91
32000.0,230.0,20000.0,-25.0,2212.05
32000.0,230.0,20000.0,-15.0,2202.93
32000.0,230.0,24000.0,-43.0,2280.39
32000.0,230.0,24000.0,-33.0,2267.98
32000.0,230.0,24000.0,-23.0,2256.51
32000.0,230.0,30000.0,-55.0,2373.5
32000.0,230.0,30000.0,-45.0,2356.87
32000.0,230.0,30000.0,-35.0,2341.54
32000.0,250.0,10000.0,-15.0,1886.73
32000.0,250.0,10000.0,-5.0,1883.19
32000.0,250.0,10000.0,5.0,1879.92
32000.0,250.0,20000.0,-35.0,1996.77
32000.0,250.0,20000.0,-25.0,1988.61
32000.0,250.0,20000.0,-15.0,1981.06
32000.0,250.0,24000.0,-43.0,2045.42
32000.0,250.0,24000.0,-33.0,2035.06
32000.0,250.0,24000.0,-23.0,2025.51
32000.0,250.0,30000.0,-55.0,2123.58
32000.0,250.0,30000.0,-45.0,2109.56
32000.0,250.0,30000.0,-35.0,2096.66
32000.0,270.0,10000.0,-15.0,1737.92
32000.0,270.0,10000.0,-5.0,1735.13
32000.0,270.0,10000.0,5.0,1732.55
32000.0,270.0,20000.0,-35.0,1826.17
32000.0,270.0,20000.0,-25.0,1819.55
32000.0,270.0,20000.0,-15.0,1813.43
32000.0,270.0,24000.0,-43.0,1865.87
32000.0,270.0,24000.0,-33.0,1857.39
32000.0,270.0,24000.0,-23.0,1849.58
32000.0,270.0,30000.0,-55.0,1930.38
32000.0,270.0,30000.0,-45.0,1918.75
32000.0,270.0,30000.0,-35.0,1908.07
